"","CU25_1","CU25_2","CU25_4","CU25_5","CU25_6","CU25_7","CU25_8","CU25_10"
"Icosl",7.99203085174158,7.72535733949272,7.51603138109207,7.80752342656789,7.3370260454947,6.9857430972625,7.39513894763012,7.40920624093531
"Spg7",11.8464862510431,12.0037339405593,11.85829688805,11.6376380582682,11.8646785585817,12.259714665988,12.1206084230156,12.1452782430975
"Sult5a1",7.33834187874938,7.50928906305563,7.50694559909301,7.38581880662697,7.16795504688063,7.33828865584349,7.19373116040606,7.37937336205975
"Rpl13",13.1518924439225,13.2703361260886,13.1246929548196,13.02023700504,13.5392348725605,13.7343175352365,13.719387294954,13.7265316757612
"Chmp1a",11.1594464562851,11.1824077448064,11.1947748987365,11.1393009934112,11.9721646532769,11.9248120695046,11.9450223455151,11.8093818644308
"Rpa1",11.7287155442342,11.9343853185978,11.4701459804031,11.190505560916,12.1100691808696,12.1946622596172,11.6333581805915,11.9301332948565
"Serpinf1",12.4091128364336,12.1731988833471,11.5570630991522,12.0644406591148,8.40177736043701,8.70475657525405,8.28516303265361,8.90528139640371
"Tubgcp3",9.39509525035971,9.23827953110092,9.37139884206992,9.22384638175343,9.60074902495951,9.80158938328008,9.59104566806829,9.39297092665569
"Polr3d",9.83136357340064,9.66172330109443,9.78249824054354,9.80792132093164,10.430805652966,10.393361751256,10.4065554779997,10.0416117260393
"Tcf7",7.15703594559005,6.70093075188531,6.83862643200718,6.70660415999965,6.6715132456429,6.49519621110951,6.87947181671402,6.43259927232694
"Ddx3x",12.5396916416234,12.9323377210861,13.3044444393011,13.3125013696122,13.9246469333829,13.9562210740225,14.0770965831126,14.0479278579267
"Il12rb1",6.31660876692879,6.2668850118428,6.08903019021879,6.32397778693793,6.87021726584251,6.49519621110951,6.67848838158123,6.60288201101699
"Slc5a5",6.57006655456008,6.39669554693137,6.43601348849959,6.55738542638483,6.55482759799453,6.08903019021879,6.08903019021879,6.08903019021879
"Kcnn3",8.03279917868976,7.78674689035013,7.81626661458501,7.92372037109594,6.92527563042767,7.49114182546068,7.30544684291143,7.07383448158351
"Usp32",9.31573756794962,9.55566073721855,9.92657745429253,9.9082917285899,10.3229273936458,10.0022876306297,10.369238318151,10.2276004185616
"Car4",7.88949395415944,7.39893017116771,8.29598169558021,7.48396872990771,8.97512817343618,9.16348598929935,8.82257326395382,8.29638497713477
"Txnrd3",8.44183329871888,8.51945183798686,8.13924029239176,8.13768021882568,8.68738221947319,8.3342670654591,8.87616368283342,8.3286682462629
"Zfp512b",10.1509623534587,10.1757176897752,9.96868613217723,9.93934933508785,10.231113821761,10.2638626535834,10.3577358146003,10.150651775627
"Dnajc5",11.3099016184547,11.1881885813261,11.1477042092922,10.9815381918345,11.660085022971,11.8776824745622,11.7699395046704,11.6775841219662
"Tpd52l2",10.3113342303907,10.3292641432389,10.506331870042,10.4552725534371,11.1243833479069,10.8958878155064,11.2594237697705,10.626644796807
"Fmr1",7.40074226318535,7.852231586644,8.1120790456646,8.88522827460369,8.7935272312589,8.17219550684483,8.9805472263855,8.90230027184998
"Bcl11a",6.41054295908313,6.08903019021879,6.33467936495677,6.32397778693793,6.26574025732778,6.08903019021879,6.34180451649344,6.93769471624893
"Pxmp4",9.57109867026513,9.37662620969529,9.40156222194442,9.45014342285473,9.40608308329459,9.34281191304777,9.15504306834988,9.07600627852179
"Dlg3",7.5231323154019,7.48030358668307,7.3176496568433,7.63504177698094,7.43227039612335,7.15787775089205,7.26962611929089,7.12789456702824
"Gnb1l",7.77755775771038,7.31062755107607,7.66009828723908,7.51753640604556,7.23181325111399,7.12901846745254,7.29365098995521,6.9210124283069
"Mmp11",7.72710032012613,7.4094523073241,7.47922284950348,7.55809712249918,8.45960503890696,8.38413203719121,8.21193179744476,7.81470992325127
"Smarcb1",9.66678862746063,9.79298959908212,9.32940439359316,9.30128993133781,9.63293235818226,9.43947996971104,9.84371483763951,9.26082410365759
"Vpreb3",6.51369747841017,6.34039612705304,6.08903019021879,6.32397778693793,6.08903019021879,6.08903019021879,6.44605278073222,6.08903019021879
"Hip1r",9.19188800767592,8.88363090093465,8.73465612615037,8.5839073988239,8.9570949407193,9.33055736199636,9.57315891056543,9.07072801913804
"Nsun5",8.56088443994687,8.33428313955961,8.59353207917522,8.21874946869027,8.51085380756043,8.88189973086281,8.73442832755324,8.546686716943
"Top1mt",9.14878454912262,9.31865048756056,9.10883451592191,9.22605615592623,9.49957639755758,9.49533773692642,9.68651417974341,9.43440773669778
"Hoxa10",9.24192424084421,9.30914924339316,9.34502175991218,9.50011390283678,8.90154606690834,9.09532750528532,8.88924282794139,9.32624183818103
"Hoxa4",7.49183590504592,7.60947241036473,7.58613753286024,7.50088231314249,7.3370260454947,7.40655166302316,7.50705668944087,7.60573326023319
"Gm38393",6.08903019021879,6.70093075188531,6.47673727509932,7.21268827945903,6.78941432517188,6.45255461014013,6.59266451802607,6.68134761003087
"Mmp14",9.90382821910007,10.0110086795576,9.3994289140104,9.92862309910907,9.59883299533942,9.29061155970856,9.60675808783021,9.49437333142473
"Slc7a7",7.50759659086878,7.25119383656506,7.13783567337583,7.30810036236135,6.9073767539261,6.9857430972625,6.67848838158123,6.97000785765819
"Oxa1l",11.1098448998657,11.0326464899117,10.9803153843137,10.6047064993642,11.5203540045451,11.4270235784921,11.4595608653074,10.8877794623049
"Heatr6",9.94934315417382,10.0326641357217,9.82742766428629,9.52713232990901,10.1330145562966,10.1931038495743,9.97779322816376,9.81533677095401
"Wfdc18",6.08903019021879,6.08903019021879,6.08903019021879,6.25525491524189,6.9073767539261,6.08903019021879,6.08903019021879,6.08903019021879
"Icam4",7.06342499991028,6.79386925597827,6.68717907155138,6.52737471857631,6.61654825680032,6.74056735475661,6.59266451802607,6.83137565495074
"Ilf2",9.90511230274996,10.0110086795576,9.92952167830416,9.72345113901239,10.7528981510228,10.720967893924,10.7764980560928,10.5594971810356
"Chtop",11.5853901997229,11.7135807761779,11.6857235524594,11.5251681265145,11.4258687846686,11.6197091701237,11.6117796475,11.5268300566012
"Snapin",11.2885069457258,11.4252581632365,11.462070203724,11.4365390123113,11.4258687846686,11.5874642606857,11.4845791505511,11.5730456658338
"S100a4",9.35597389843823,8.81744727326121,9.0222154611738,9.9082917285899,7.79170119894666,8.25574384482156,7.95675383534818,8.20452343207736
"S100a5",6.25003587786956,6.34039612705304,6.33467936495677,6.42093115304451,6.26574025732778,6.34641984239714,6.34180451649344,6.3867448024636
"S100a6",10.9039140288697,10.7572317233717,10.4765256559223,10.8867151391222,9.4767753921139,9.58243207818609,9.86015799292551,10.0978106213979
"Scn4a",15.0102229532564,15.2525066688065,14.7164636377846,14.3378261412023,14.8875193160221,15.1863564718791,14.6616935174693,14.7991965194786
"Icam2",8.21906598792462,8.21250262982683,7.9851489377059,8.19542871559532,7.32587404320732,7.25231007380538,7.58174842559123,7.56406092483827
"Mapk7",8.43816671725562,8.21250262982683,7.9851489377059,8.29505559176145,7.97552879574361,7.81564803586532,7.9633134606755,7.8350542949855
"Epn2",10.6544069925702,10.8972091551765,10.5403416558405,10.4468612493543,10.3492498812196,10.418834385042,10.1991498981122,10.4474850716222
"B9d1",7.34749315339354,7.18784308842797,7.27290358503826,7.20147466632589,7.18108245097744,7.26506381285837,6.93514785656525,7.16638104039941
"Sec24b",10.5778184526823,10.6485896621308,10.4785320972598,10.2726730990316,11.7001139914328,11.5196583284456,11.741521074527,11.2256026658129
"N4bp3",7.79593920748465,7.70148433111334,7.90361280384999,7.63504177698094,7.80631501203585,7.83839669428625,7.78019727859094,7.59752168246314
"Rmnd5b",9.33312239359576,9.22569162844463,8.99115329032445,8.97261474723279,9.22342135844768,9.57830531950772,9.02846793479848,9.13278921568395
"Nhp2",9.28031128430006,9.43013018400352,9.31587908391363,9.12062523569757,9.7651158457692,9.74391573149237,9.7479567501682,9.39297092665569
"Vps9d1",9.78045810902095,9.83638244673945,9.64212965719106,9.598460617339,9.20580845850144,9.34525010478598,9.49081575075838,9.15537082000202
"Zfp276",8.95670555860853,8.94987712975911,9.0929971472275,8.7397003717254,9.05068056435338,8.81232580043431,9.02846793479848,8.70363359767596
"Mfsd10",8.01766575357401,7.86631362052962,7.75918669632974,7.65714169127569,7.5102484540199,7.40655166302316,7.53566218158876,7.69991623307483
"Luzp1",9.87134501930681,9.62977740785425,9.93539198676329,10.0374243996546,9.42354768127425,9.47325827347284,9.38752014290336,9.66215168220367
"Kctd10",10.4397457256777,10.1269226694048,9.98008727410602,9.78429345251801,9.12771670299912,9.14955715360242,9.2736042011395,9.31739719953074
"Poldip2",11.8767664833323,11.8838561544598,11.7338840887956,11.5348832049377,11.9507025676135,12.0565039967692,12.1830549313199,11.886444035296
"Ift20",8.76869647664726,8.81405330073865,9.12708774362336,9.25447164418937,8.70201906743254,8.64963845977791,8.67108128461425,8.78397241017456
"Col6a1",12.8075259594728,12.5315766338493,12.0210162895183,12.2873873012058,8.73083118696497,8.68140647476197,8.59661562440328,9.19705769029986
"Pcbp3",7.79593920748465,7.68529275571881,7.7295826907152,7.37642229388236,7.76943925715547,7.61593981885572,7.902985683719,7.51189806615339
"Lgals9",9.32542224488113,9.28025509372693,8.88435151789828,8.89085428647371,8.14120808720155,8.0325219382268,7.89609648532786,8.59234093960888
"Araf",10.8813429542173,10.8056988776663,11.1583675600112,11.1932975749188,12.5897741695024,12.2478394794297,12.3344350976404,12.3264713484641
